iter	Passed	Remaining
0	47	47229
1	47	23817
2	48	16001
3	48	12093
4	49	9812
5	49	8247
6	50	7124
7	50	6279
8	51	5621
9	51	5092
10	51	4659
11	52	4302
12	52	3997
13	53	3736
14	53	3510
15	53	3311
16	54	3138
17	54	2984
18	55	2844
19	55	2727
20	56	2615
21	56	2515
22	57	2424
23	57	2341
24	58	2262
25	58	2199
26	59	2131
27	59	2069
28	60	2009
29	60	1954
30	60	1906
31	61	1856
32	61	1811
33	62	1767
34	62	1725
35	62	1686
36	63	1648
37	63	1613
38	64	1579
39	64	1547
40	64	1516
41	65	1488
42	65	1461
43	66	1434
44	66	1409
45	66	1385
46	67	1363
47	67	1341
48	68	1320
49	68	1301
50	68	1282
51	69	1264
52	69	1247
53	70	1230
54	70	1214
55	71	1198
56	71	1182
57	71	1167
58	72	1153
59	72	1143
60	73	1129
61	73	1117
62	74	1107
63	75	1101
64	75	1089
65	76	1078
66	76	1067
67	76	1053
68	77	1043
69	77	1032
70	78	1021
71	78	1011
72	78	1001
73	79	992
74	79	982
75	80	973
76	80	965
77	81	957
78	81	948
79	81	939
80	81	929
81	82	920
82	82	911
83	82	903
84	82	893
85	83	885
86	83	877
87	84	872
88	84	866
89	85	860
90	85	854
91	85	847
92	86	841
93	86	835
94	87	829
95	87	823
96	87	817
97	89	822
98	89	818
99	90	813
100	90	807
101	90	800
102	91	795
103	91	790
104	92	785
105	92	780
106	92	775
107	93	770
108	93	766
109	94	761
110	94	757
111	94	752
112	95	748
113	95	743
114	96	739
115	96	734
116	96	730
117	97	726
118	97	721
119	97	717
120	98	713
121	98	709
122	98	704
123	99	700
124	99	697
125	99	693
126	100	690
127	100	685
128	101	682
129	101	679
130	102	676
131	102	674
132	102	671
133	103	667
134	103	664
135	104	662
136	104	659
137	105	656
138	105	653
139	105	650
140	106	647
141	106	645
142	107	642
143	107	639
144	107	636
145	108	633
146	108	630
147	109	627
148	109	625
149	109	622
150	110	619
151	110	617
152	111	614
153	111	611
154	111	609
155	112	606
156	112	604
157	112	601
158	113	599
159	113	596
160	114	594
161	114	591
162	114	589
163	115	587
164	115	585
165	116	582
166	116	580
167	116	579
168	117	578
169	118	578
170	118	576
171	119	573
172	119	572
173	120	570
174	120	568
175	120	566
176	121	564
177	121	561
178	122	559
179	122	557
180	122	554
181	123	552
182	123	550
183	123	548
184	124	546
185	124	544
186	124	542
187	125	540
188	125	538
189	125	537
190	126	535
191	126	533
192	127	531
193	127	529
194	127	528
195	128	526
196	128	524
197	129	523
198	129	521
199	129	519
200	130	517
201	130	516
202	131	514
203	131	513
204	131	511
205	132	509
206	132	508
207	133	507
208	133	505
209	134	504
210	134	502
211	134	501
212	135	499
213	135	497
214	135	496
215	136	494
216	136	493
217	137	491
218	137	490
219	137	488
220	138	487
221	138	485
222	138	484
223	139	482
224	139	481
225	140	479
226	140	478
227	140	476
228	141	475
229	141	474
230	141	472
231	142	471
232	142	470
233	143	468
234	143	467
235	143	465
236	144	464
237	144	463
238	145	462
239	145	460
240	145	459
241	146	457
242	146	456
243	146	455
244	147	454
245	147	452
246	148	451
247	148	450
248	148	449
249	149	448
250	149	446
251	150	445
252	150	444
253	150	442
254	151	441
255	151	440
256	151	439
257	152	438
258	152	436
259	153	435
260	153	434
261	153	433
262	154	431
263	154	430
264	154	429
265	155	428
266	155	427
267	156	426
268	156	425
269	156	424
270	157	423
271	157	422
272	158	420
273	158	419
274	158	418
275	159	417
276	159	416
277	160	415
278	160	414
279	160	413
280	161	412
281	161	411
282	162	410
283	162	410
284	163	409
285	163	408
286	163	407
287	164	406
288	164	405
289	165	404
290	165	402
291	165	401
292	166	400
293	166	399
294	166	398
295	167	397
296	167	396
297	167	395
298	168	394
299	168	393
300	169	392
301	169	391
302	169	390
303	170	389
304	170	388
305	171	387
306	171	387
307	171	386
308	172	385
309	172	384
310	173	383
311	173	382
312	173	381
313	174	380
314	174	379
315	174	378
316	175	377
317	175	376
318	176	375
319	176	375
320	176	374
321	177	373
322	177	372
323	178	371
324	178	370
325	178	369
326	179	368
327	179	367
328	179	367
329	180	366
330	180	365
331	181	364
332	181	363
333	181	362
334	182	362
335	182	361
336	183	360
337	183	359
338	183	358
339	184	357
340	184	357
341	185	356
342	185	355
343	185	354
344	186	353
345	186	352
346	186	351
347	187	350
348	187	349
349	187	348
350	188	347
351	188	346
352	188	345
353	189	345
354	189	344
355	189	343
356	190	342
357	190	341
358	190	340
359	191	340
360	191	339
361	192	338
362	192	337
363	192	337
364	193	336
365	193	335
366	194	335
367	194	334
368	195	334
369	195	333
370	196	332
371	196	331
372	197	331
373	197	330
374	197	329
375	198	329
376	198	328
377	199	327
378	199	326
379	199	326
380	200	325
381	200	324
382	201	324
383	201	323
384	202	322
385	202	322
386	202	321
387	203	320
388	203	320
389	204	319
390	204	318
391	205	318
392	205	317
393	205	316
394	206	316
395	206	315
396	207	315
397	207	314
398	208	313
399	208	313
400	209	312
401	209	311
402	210	311
403	210	310
404	210	309
405	211	309
406	211	308
407	212	307
408	212	307
409	212	306
410	213	305
411	213	304
412	213	304
413	214	303
414	214	302
415	214	301
416	215	301
417	215	300
418	216	299
419	216	298
420	216	298
421	217	297
422	217	296
423	217	296
424	218	295
425	218	294
426	219	294
427	219	293
428	219	292
429	220	291
430	220	291
431	220	290
432	221	289
433	221	288
434	221	288
435	222	287
436	222	286
437	222	285
438	223	285
439	223	284
440	223	283
441	224	283
442	224	282
443	225	281
444	225	281
445	225	280
446	226	279
447	226	279
448	226	278
449	227	277
450	227	277
451	228	276
452	228	275
453	228	275
454	229	274
455	229	273
456	229	273
457	230	272
458	230	271
459	231	271
460	231	270
461	231	269
462	232	269
463	232	268
464	232	267
465	233	267
466	233	266
467	233	265
468	234	265
469	234	264
470	235	264
471	235	263
472	235	262
473	236	262
474	236	261
475	237	260
476	237	260
477	237	259
478	238	259
479	238	258
480	238	257
481	239	257
482	239	256
483	240	255
484	240	255
485	240	254
486	241	254
487	241	253
488	241	252
489	242	252
490	242	251
491	242	250
492	243	250
493	243	249
494	244	248
495	244	248
496	244	247
497	245	247
498	245	246
499	245	245
500	246	245
501	246	244
502	247	244
503	247	243
504	247	242
505	248	242
506	248	241
507	248	241
508	249	240
509	249	239
510	249	239
511	250	238
512	251	238
513	251	237
514	251	237
515	252	236
516	252	235
517	252	235
518	253	234
519	253	234
520	254	233
521	254	232
522	254	232
523	255	231
524	255	231
525	255	230
526	256	229
527	256	229
528	256	228
529	257	228
530	257	227
531	258	227
532	258	226
533	258	225
534	259	225
535	259	224
536	259	224
537	260	223
538	260	222
539	261	222
540	261	221
541	261	221
