iter	Passed	Remaining
0	172	172482
1	173	86374
2	173	57665
3	174	43354
4	174	34732
5	174	28981
6	175	24870
7	175	21788
8	176	19394
9	176	17476
10	176	15906
11	177	14599
12	177	13491
13	178	12543
14	178	11721
15	178	11001
16	179	10366
17	179	9802
18	180	9296
19	180	8842
20	180	8431
21	181	8064
22	181	7724
23	182	7409
24	182	7123
25	183	6857
26	183	6612
27	183	6383
28	184	6170
29	184	5970
30	185	5784
31	185	5609
32	185	5445
33	186	5291
34	186	5145
35	187	5007
36	187	4876
37	187	4753
38	188	4635
39	188	4525
40	188	4420
41	189	4318
42	189	4222
43	190	4130
44	190	4042
45	190	3958
46	191	3877
47	191	3800
48	192	3727
49	192	3656
50	192	3588
51	193	3521
52	193	3458
53	193	3397
54	194	3338
55	194	3281
56	195	3227
57	195	3175
58	195	3123
59	196	3074
60	196	3026
61	196	2980
62	197	2935
63	197	2891
64	198	2850
65	198	2810
66	199	2771
67	199	2733
68	199	2696
69	200	2661
70	200	2626
71	201	2592
72	201	2559
73	201	2526
74	202	2494
75	202	2464
76	203	2433
77	203	2404
78	203	2375
79	204	2347
80	204	2320
81	204	2294
82	205	2266
83	205	2240
84	205	2216
85	206	2192
86	206	2168
87	207	2145
88	207	2123
89	207	2101
90	208	2079
91	208	2058
92	208	2037
93	209	2017
94	209	1997
95	210	1978
96	210	1959
97	210	1940
98	211	1922
99	212	1910
100	212	1894
101	213	1877
102	213	1861
103	214	1844
104	214	1828
105	214	1812
106	215	1797
107	215	1781
108	216	1766
109	216	1751
110	216	1736
111	217	1722
112	217	1708
113	217	1694
114	218	1680
115	218	1666
116	218	1652
117	219	1639
118	219	1626
119	220	1614
120	220	1602
121	220	1589
122	221	1577
123	221	1565
124	221	1553
125	222	1542
126	222	1530
127	223	1519
128	223	1509
129	223	1498
130	224	1487
131	224	1477
132	225	1466
133	225	1456
134	225	1446
135	226	1436
136	226	1427
137	226	1417
138	227	1407
139	227	1398
140	228	1389
141	228	1379
142	228	1370
143	229	1362
144	229	1353
145	229	1344
146	230	1336
147	230	1328
148	231	1320
149	231	1312
150	232	1304
151	232	1296
152	232	1288
153	233	1280
154	233	1272
155	233	1265
156	234	1257
157	234	1250
158	235	1243
159	235	1236
160	235	1228
161	236	1220
162	236	1213
163	236	1207
164	237	1200
165	237	1193
166	237	1187
167	238	1180
168	238	1173
169	239	1167
170	239	1161
171	239	1154
172	240	1148
173	240	1142
174	241	1136
175	241	1130
176	241	1124
177	242	1118
178	242	1113
179	243	1107
180	243	1101
181	243	1096
182	244	1090
183	244	1085
184	245	1080
185	245	1074
186	245	1069
187	246	1064
188	246	1058
189	247	1053
190	247	1048
191	247	1043
192	248	1038
193	248	1033
194	249	1028
195	249	1023
196	249	1018
197	250	1013
198	250	1008
199	250	1003
200	251	999
201	251	994
202	252	989
203	252	985
204	252	980
205	253	976
206	253	971
207	254	967
208	254	963
209	254	958
210	255	954
211	255	950
212	256	946
213	256	941
214	256	937
215	257	933
216	257	929
217	258	925
218	258	921
219	258	917
220	259	913
221	259	909
222	259	905
223	260	901
224	260	897
225	261	894
226	261	890
227	261	886
228	262	882
229	262	879
230	263	875
231	263	871
232	263	868
233	264	864
234	264	861
235	264	857
236	265	853
237	265	850
238	265	846
239	266	843
240	267	841
241	267	838
242	268	834
243	268	831
244	268	828
245	269	825
246	269	821
247	269	818
248	270	815
249	270	812
250	271	808
251	271	805
252	271	802
253	272	799
254	272	796
255	272	793
256	273	790
257	273	787
258	274	784
259	274	781
260	274	778
261	275	775
262	275	772
263	276	769
264	276	766
265	276	763
266	277	760
267	277	758
268	277	755
269	278	752
270	278	749
271	279	746
272	279	744
273	279	741
274	280	738
275	280	736
276	280	733
277	281	730
278	281	728
279	282	725
280	282	723
281	282	720
282	283	717
283	283	715
284	284	712
285	284	710
286	284	707
287	285	705
288	285	702
289	286	700
290	286	697
291	286	695
292	287	692
293	287	690
294	287	688
295	288	685
296	288	683
297	289	681
298	289	678
299	289	676
300	290	674
301	290	671
302	291	669
303	291	667
304	291	665
305	292	662
306	292	660
307	292	658
308	293	656
309	293	653
310	294	651
311	294	649
312	294	647
313	295	645
314	295	642
315	296	640
316	296	638
317	296	636
318	297	634
319	297	632
320	297	630
321	298	628
322	298	626
323	299	624
324	299	622
325	299	620
326	300	617
327	300	615
328	301	613
329	301	611
330	301	609
331	302	607
332	302	605
333	302	603
334	303	601
335	303	599
336	304	598
337	304	596
338	304	594
339	305	592
340	305	590
341	305	588
342	306	586
343	306	584
344	306	582
345	307	581
346	307	579
347	308	577
348	308	575
349	308	573
350	309	571
351	309	569
352	309	567
353	310	566
354	310	564
355	310	562
356	311	560
357	311	558
358	312	557
359	312	555
360	312	553
361	313	552
362	313	550
363	314	548
364	314	546
365	314	545
366	315	543
367	315	542
368	316	540
369	316	538
370	316	537
371	317	535
372	317	533
373	317	532
374	318	530
375	318	528
376	318	527
377	319	525
378	319	523
379	320	522
380	320	520
381	320	518
382	321	517
383	321	515
384	321	514
385	322	512
386	322	511
387	323	509
388	323	507
389	323	506
390	324	504
391	324	503
392	324	501
393	325	500
394	325	498
395	326	497
396	326	496
397	327	494
398	327	493
399	327	491
400	328	490
401	328	488
402	329	487
403	329	486
404	329	484
405	330	483
406	330	481
407	330	480
408	331	478
409	331	477
410	332	475
411	332	474
412	332	473
413	333	471
414	333	470
415	334	468
416	334	467
417	334	466
418	335	464
419	335	463
420	335	461
421	336	460
422	336	459
423	336	457
424	337	456
425	337	455
426	338	453
427	338	452
428	338	450
429	339	449
430	339	448
431	339	446
432	340	445
433	340	444
434	341	442
435	341	441
436	341	440
437	342	439
438	342	437
439	343	436
440	343	435
441	343	434
442	344	432
443	344	431
444	344	430
445	345	428
446	345	427
447	346	426
448	346	425
449	346	424
450	347	422
451	347	421
452	348	420
453	348	419
454	348	417
455	349	416
456	349	415
457	350	414
458	350	413
459	350	411
460	351	410
461	351	409
462	352	408
463	352	407
464	352	405
465	353	404
466	353	403
467	353	402
468	354	401
469	354	399
470	354	398
471	356	398
472	357	397
473	357	396
474	357	395
475	358	394
476	358	393
477	358	391
478	359	390
479	359	389
480	359	388
481	360	387
482	360	386
483	361	384
484	361	383
485	361	382
486	362	381
487	362	380
488	362	379
489	363	378
490	363	377
491	364	375
492	364	374
493	364	373
494	365	372
495	365	371
496	365	370
497	366	369
498	366	368
499	367	367
500	367	365
501	367	364
502	368	363
503	368	362
504	368	361
505	369	360
506	369	359
507	369	358
508	370	357
509	370	356
510	371	355
511	371	354
512	371	353
513	372	352
514	372	350
515	373	349
516	373	348
517	373	347
518	374	346
519	374	345
520	375	344
521	375	343
522	375	342
523	376	341
524	376	340
525	376	339
526	377	338
527	377	337
528	378	336
529	378	335
530	378	334
531	379	333
532	379	332
533	380	331
534	380	330
535	380	329
536	381	328
537	381	327
538	382	326
539	382	325
540	382	324
541	383	323
542	383	322
543	383	321
544	384	320
545	384	319
546	385	318
547	385	317
548	385	316
549	386	315
550	386	315
551	386	314
552	387	313
553	387	312
554	388	311
555	388	310
556	388	309
557	389	308
558	389	307
559	390	306
560	390	305
561	390	304
562	391	303
563	391	302
564	391	301
565	392	300
566	392	299
567	393	298
568	393	298
569	393	297
570	394	296
571	394	295
572	395	294
573	395	293
574	395	292
575	396	291
576	396	290
577	397	289
578	397	288
579	397	288
580	398	287
581	398	286
582	398	285
583	399	284
584	399	283
585	400	282
586	400	281
587	400	280
588	401	280
589	401	279
590	402	278
591	402	277
592	402	276
593	403	275
594	403	274
595	404	273
596	404	272
597	404	272
598	405	271
599	405	270
600	405	269
601	406	268
602	406	267
603	406	266
604	407	265
605	407	265
606	408	264
607	408	263
608	408	262
609	409	261
610	409	260
611	409	259
612	410	259
613	410	258
614	411	257
615	411	256
616	411	255
617	412	254
618	412	253
619	412	253
620	413	252
621	413	251
622	414	250
623	414	249
624	414	248
625	415	248
626	415	247
627	416	246
628	416	245
629	416	244
630	417	243
631	417	243
632	417	242
633	418	241
634	418	240
635	418	239
636	419	238
637	419	238
638	420	237
639	420	236
640	420	235
641	421	234
642	421	234
643	422	233
644	422	232
645	422	231
646	423	230
647	423	230
648	423	229
649	424	228
650	424	227
651	425	226
652	425	226
653	425	225
654	426	224
655	426	223
656	426	222
657	427	222
658	427	221
659	428	220
660	428	219
661	428	219
662	429	218
663	429	217
664	430	216
665	430	215
666	430	215
667	431	214
668	431	213
669	432	212
670	432	212
671	432	211
672	433	210
673	433	209
674	434	209
675	434	208
676	434	207
677	435	206
678	435	205
679	435	205
680	436	204
